SessionIdentity,hour_num,stage,BG_psd,key2_psd,key3_psd,n_epoch
02R_04-21-22,4.0,N1,0.03434156,0.025355553,0.008274049,189
02R_04-21-22,4.0,N2,0.05227803,0.05878881,0.01693659,444
02R_04-21-22,5.0,N1,0.26144943,0.016043585,0.004367042,86
02R_04-21-22,5.0,N2,0.019655745,0.04129058,0.011666678,748
02R_04-21-22,5.0,REM,0.84408975,0.01502717,0.0047897794,185
02R_04-22-22,0.0,N1,0.011191963,0.025662184,0.008608141,73
02R_04-22-22,0.0,N2,0.45729256,0.080330275,0.022042925,387
02R_04-22-22,0.0,N3,0.008831193,0.15757173,0.043697268,652
02R_04-22-22,1.0,N1,0.0077713,0.04061411,0.011265301,101
02R_04-22-22,1.0,N2,0.0069354647,0.07662313,0.02104829,538
02R_04-22-22,1.0,N3,0.009407603,0.1833744,0.051089402,829
02R_04-22-22,1.0,REM,0.0059900465,0.03887643,0.009779448,295
02R_04-22-22,2.0,N1,0.0060926666,0.017130226,0.005897579,161
02R_04-22-22,2.0,N2,0.0068665096,0.07451035,0.021459384,1175
02R_04-22-22,3.0,N1,0.005455833,0.017495532,0.0057618367,219
02R_04-22-22,3.0,N2,0.0066042603,0.10483442,0.029006125,1155
02R_04-22-22,3.0,N3,0.008124032,0.1713673,0.045903295,115
02R_04-22-22,3.0,REM,0.005166592,0.027192451,0.009006737,43
02R_04-22-22,4.0,N1,0.01612468,0.017848955,0.0058013173,274
02R_04-22-22,4.0,N2,0.0051019522,0.0731819,0.019554168,426
02R_04-22-22,4.0,REM,0.75023454,0.02029325,0.0060945153,673
02R_04-22-22,5.0,N1,0.0036042477,0.020999342,0.0063560465,40
02R_04-22-22,5.0,N2,0.0055076648,0.08780951,0.024077602,990
02R_04-22-22,5.0,REM,0.008967667,0.029894583,0.0078031304,622
02R_04-22-22,6.0,N1,0.9279589,0.018258238,0.0055775847,245
02R_04-22-22,6.0,N2,0.06396103,0.090518214,0.025770947,1187
02R_04-22-22,6.0,REM,0.004989122,0.012936006,0.0046132007,14
02R_04-22-22,7.0,N1,0.004335885,0.030356457,0.008539597,57
02R_04-22-22,7.0,N2,0.0058417334,0.08760853,0.02658837,469
02R_04-27-22,0.0,N1,0.010019279,0.02213569,0.007567785,147
02R_04-27-22,0.0,N2,0.013736979,0.085902214,0.027432462,238
02R_04-27-22,0.0,N3,0.013295645,0.15484203,0.047611665,1049
